date,men,women,boomer,100_men,100_women,100_boomer,men_shortfall,women_shortfall,boomer_shortfall,total_shortfall,men_share,women_share,boomer_share
2008-06-01,73030,63162,5079,,,,,,,,,,
2008-07-01,73045,62915,5193,,,,,,,,,,
2008-08-01,72366,62544,5257,,,,,,,,,,
2008-09-01,71440,62710,5321,,,,,,,,,,
2008-10-01,71401,63219,5334,,,,,,,,,,
2008-11-01,70768,62987,5324,,,,,,,,,,
2008-12-01,69814,62874,5227,,,,,,,,,,
2009-01-01,68086,61678,5304,,,,,,,,,,
2009-02-01,67833,61772,5218,,,,,,,,,,
2009-03-01,67555,61683,5284,,,,,,,,,,
2009-04-01,68140,61817,5248,,,,,,,,,,
2009-05-01,68192,61455,5377,,,,,,,,,,
2009-06-01,68856,61488,5192,,,,,,,,,,
2009-07-01,69188,61368,5224,,,,,,,,,,
2009-08-01,68767,60976,5353,,,,,,,,,,
2009-09-01,67855,60839,5423,,,,,,,,,,
2009-10-01,67735,60946,5533,,,,,,,,,,
2009-11-01,67341,61238,5570,,,,,,,,,,
2009-12-01,66675,60818,5417,,,,,,,,,,
2010-01-01,65649,60731,5442,,,,,,,,,,
2010-02-01,65913,60809,5405,,,,,,,,,,
2010-03-01,66499,60814,5455,,,,,,,,,,
2010-04-01,67665,61148,5490,,,,,,,,,,
2010-05-01,68019,60856,5561,,,,,,,,,,
2010-06-01,68508,61030,5455,,,,,,,,,,
2010-07-01,69198,60827,5425,,,,,,,,,,
2010-08-01,68885,60687,5506,,,,,,,,,,
2010-09-01,68236,60882,5741,,,,,,,,,,
2010-10-01,68269,60931,5706,,,,,,,,,,
2010-11-01,67834,61013,5623,,,,,,,,,,
2010-12-01,67517,61110,5662,,,,,,,,,,
2011-01-01,66669,60565,5696,,,,,,,,,,
2011-02-01,67091,60526,5746,,,,,,,,,,
2011-03-01,67376,60952,5743,,,,,,,,,,
2011-04-01,67901,61012,5876,,,,,,,,,,
2011-05-01,68474,60748,5889,,,,,,,,,,
2011-06-01,68873,60647,5707,,,,,,,,,,
2011-07-01,69266,60555,5761,,,,,,,,,,
2011-08-01,69215,60546,5731,,,,,,,,,,
2011-09-01,68879,60855,5924,,,,,,,,,,
2011-10-01,68806,61099,6044,,,,,,,,,,
2011-11-01,69099,61025,6009,,,,,,,,,,
2011-12-01,68793,60891,6107,,,,,,,,,,
2012-01-01,67803,61198,6151,,,,,,,,,,
2012-02-01,68058,61625,6337,,,,,,,,,,
2012-03-01,68374,61828,6400,,,,,,,,,,
2012-04-01,68876,61761,6337,,,,,,,,,,
2012-05-01,69344,61894,6420,,,,,,,,,,
2012-06-01,70073,61863,6279,,,,,,,,,,
2012-07-01,70401,61567,6155,,,,,,,,,,
2012-08-01,69714,61478,6303,,,,,,,,,,
2012-09-01,69632,61997,6464,,,,,,,,,,
2012-10-01,69977,62276,6428,,,,,,,,,,
2012-11-01,69526,62263,6530,,,,,,,,,,
2012-12-01,69228,62176,6454,,,,,,,,,,
2013-01-01,68374,61643,6463,,,,,,,,,,
2013-02-01,68591,61793,6646,,,,,,,,,,
2013-03-01,69024,61833,6638,,,,,,,,,,
2013-04-01,69465,62273,6771,,,,,,,,,,
2013-05-01,70039,62330,6965,,,,,,,,,,
2013-06-01,70795,62323,6773,,,,,,,,,,
2013-07-01,71084,62468,6634,,,,,,,,,,
2013-08-01,70492,62127,6837,,,,,,,,,,
2013-09-01,70135,62395,6902,,,,,,,,,,
2013-10-01,70044,62257,6855,,,,,,,,,,
2013-11-01,70300,62595,6980,,,,,,,,,,
2013-12-01,70170,62680,6862,,,,,,,,,,
2014-01-01,69407,62580,7036,,,,,,,,,,
2014-02-01,69248,63048,7092,,,,,,,,,,
2014-03-01,70336,62928,7007,,,,,,,,,,
2014-04-01,70562,63250,7117,,,,,,,,,,
2014-05-01,71039,63338,7087,,,,,,,,,,
2014-06-01,72072,63274,6875,,,,,,,,,,
2014-07-01,72573,62831,6900,,,,,,,,,,
2014-08-01,71955,62751,6865,,,,,,,,,,
2014-09-01,71705,62889,7113,,,,,,,,,,
2014-10-01,71975,63491,7201,,,,,,,,,,
2014-11-01,71594,63727,7100,,,,,,,,,,
2014-12-01,71263,63435,7180,,,,,,,,,,
2015-01-01,70856,63337,7318,,,,,,,,,,
2015-02-01,71047,63564,7354,,,,,,,,,,
2015-03-01,71365,63434,7614,,,,,,,,,,
2015-04-01,72124,63745,7582,,,,,,,,,,
2015-05-01,72387,64011,7618,,,,,,,,,,
2015-06-01,72819,63950,7406,,,,,,,,,,
2015-07-01,73405,63700,7340,,,,,,,,,,
2015-08-01,72974,63576,7440,,,,,,,,,,
2015-09-01,72483,63770,7547,,,,,,,,,,
2015-10-01,72574,64232,7711,,,,,,,,,,
2015-11-01,72357,64706,7719,,,,,,,,,,
2015-12-01,72342,64668,7616,,,,,,,,,,
2016-01-01,72084,64346,7569,,,,,,,,,,
2016-02-01,72490,64825,7810,,,,,,,,,,
2016-03-01,72689,64842,7938,,,,,,,,,,
2016-04-01,72923,64694,8006,,,,,,,,,,
2016-05-01,73169,64927,7915,,,,,,,,,,
2016-06-01,73989,64586,7910,,,,,,,,,,
2016-07-01,74231,64822,7917,,,,,,,,,,
2016-08-01,73900,64667,7912,,,,,,,,,,
2016-09-01,73513,64962,8000,,,,,,,,,,
2016-10-01,73511,65381,7989,,,,,,,,,,
2016-11-01,73493,65477,7992,,,,,,,,,,
2016-12-01,73182,65264,7842,,,,,,,,,,
2017-01-01,72724,64631,7966,,,,,,,,,,
2017-02-01,72812,65216,8059,,,,,,,,,,
