date,u_to_e,u_to_u,u_to_nilf
2019-01-01,1785,3144,1429
2019-02-01,1772,2893,1775
2019-03-01,1726,2928,1472
2019-04-01,1620,3042,1537
2019-05-01,1573,2851,1569
2019-06-01,1701,2809,1454
2019-07-01,1699,2886,1323
2019-08-01,1641,2916,1410
2019-09-01,1655,2794,1550
2019-10-01,1472,2809,1445
2019-11-01,1534,3006,1382
2019-12-01,1785,2713,1407
2020-01-01,1824,2598,1401
2020-02-01,1679,2662,1453
2020-03-01,1394,2854,1467
2020-04-01,1254,3347,2581
2020-05-01,7814,11802,3490
2020-06-01,7675,10202,3097
2020-07-01,5035,9581,3060
2020-08-01,4670,8854,2782
2020-09-01,3291,7471,2778
2020-10-01,3446,6493,2595
2020-11-01,2623,6307,2118
2020-12-01,2431,5950,2345
2021-01-01,2596,5878,2241
2021-02-01,2494,5607,2027
2021-03-01,2257,5519,2195
2021-04-01,2284,5433,1990
2021-05-01,2308,5231,2271
2021-06-01,2082,5324,1908
2021-07-01,2305,4906,2260
2021-08-01,2239,4562,1899
2021-09-01,2015,4396,1970
2021-10-01,1978,3982,1712
