date,men,women
2019-01-01,1957,2529
2019-02-01,2156,2592
2019-03-01,2102,2688
2019-04-01,2126,2659
2019-05-01,2035,2652
2019-06-01,2080,2539
2019-07-01,2075,2441
2019-08-01,2096,2631
2019-09-01,2057,2525
2019-10-01,2086,2502
2019-11-01,2019,2589
2019-12-01,2238,2530
2020-01-01,2058,2530
2020-02-01,2096,2437
2020-03-01,2583,3253
2020-04-01,4376,4980
2020-05-01,2109,2361
2020-06-01,1693,1906
2020-07-01,2022,2071
2020-08-01,1768,2263
2020-09-01,2016,2585
2020-10-01,1997,2161
2020-11-01,2177,2556
2020-12-01,2037,2599
2021-01-01,1961,2381
2021-02-01,2153,2376
2021-03-01,2238,2051
2021-04-01,1972,2582
2021-05-01,2251,2508
2021-06-01,2147,2590
2021-07-01,1927,2422
2021-08-01,2191,2664
2021-09-01,1921,2691
2021-10-01,2234,2785
