date,cons,mv,realestate,finance
2006-12-01,99.4822,101.70038,99.95329,100.0724
2007-01-01,100,100,100,100
2007-02-01,98.71845,99.95114,100.06673,100.00965
2007-03-01,99.75405,99.61888,100.27361,99.85841
2007-04-01,99.49515,98.76869,100.30697,99.52696
2007-05-01,99.32686,97.86964,100.34034,99.70234
2007-06-01,99.50809,97.38102,100.3003,99.68142
2007-07-01,99.15858,96.86309,100.28695,99.74739
2007-08-01,98.51133,96.57969,100.16016,99.34353
2007-09-01,98.08414,96.05199,100.07341,99.00726
2007-10-01,97.9288,94.84022,99.96663,98.85119
2007-11-01,97.38511,94.43956,99.61295,98.70638
2007-12-01,96.95793,93.52096,99.55289,98.6034
2008-01-01,96.7767,92.49487,99.5996,98.45859
2008-02-01,96.47896,92.45578,99.47948,98.41032
2008-03-01,95.87055,89.95407,99.4995,98.39584
2008-04-01,94.8479,88.05824,99.34601,98.35723
2008-05-01,94.16181,88.2146,99.50617,98.23494
2008-06-01,93.37217,88.00938,99.81982,98.03704
2008-07-01,92.68608,86.38718,99.28595,97.89223
2008-08-01,92.09061,83.63139,99.28595,97.75868
2008-09-01,91.18447,81.74533,98.62529,97.42884
2008-10-01,90.1877,80.37721,98.38505,97.11831
2008-11-01,88.19417,78.91137,97.96463,96.73215
2008-12-01,86.74434,76.48783,97.65098,96.35243
2009-01-01,85.00971,67.55595,96.92359,95.83595
2009-02-01,83.44337,69.63745,96.1695,95.35647
2009-03-01,81.43689,68.62113,95.65566,94.97997
2009-04-01,79.66343,66.04124,94.76143,94.39912
2009-05-01,78.9644,62.89456,94.21421,94.18513
2009-06-01,77.79935,60.91078,94.14748,93.89712
2009-07-01,76.78964,63.80338,94.27427,93.69922
2009-08-01,75.79288,63.82293,94.04738,93.42086
2009-09-01,74.91262,63.85224,94.26093,93.27605
2009-10-01,73.99353,64.16496,94.12746,93.10067
2009-11-01,73.73463,63.78384,94.62796,93.13285
2009-12-01,73.19094,63.84247,94.12746,93.05723
2010-01-01,72.23301,64.61448,93.9673,92.94943
2010-02-01,71.19741,64.5363,93.92726,92.88185
2010-03-01,71.67638,64.57539,93.46013,92.72417
