date,epop,lfpr
2019-01-01,60.7,63.1
2019-02-01,60.7,63.1
2019-03-01,60.7,63.1
2019-04-01,60.6,62.9
2019-05-01,60.6,62.9
2019-06-01,60.7,62.9
2019-07-01,60.8,63.1
2019-08-01,60.8,63.2
2019-09-01,60.9,63.1
2019-10-01,60.9,63.2
2019-11-01,61,63.2
2019-12-01,61,63.3
2020-01-01,61.1,63.4
2020-02-01,61.1,63.3
2020-03-01,59.9,62.6
2020-04-01,51.3,60.2
2020-05-01,52.8,60.8
2020-06-01,54.6,61.4
2020-07-01,55.2,61.5
2020-08-01,56.5,61.7
2020-09-01,56.6,61.4
2020-10-01,57.4,61.6
2020-11-01,57.4,61.5
2020-12-01,57.4,61.5
2021-01-01,57.5,61.4
2021-02-01,57.6,61.4
2021-03-01,57.8,61.5
2021-04-01,57.9,61.7
2021-05-01,58,61.6
2021-06-01,58,61.6
2021-07-01,58.4,61.7
2021-08-01,58.5,61.7
2021-09-01,58.7,61.6
2021-10-01,58.8,61.6
