date,m_women,m_men,s_women,s_men,100_m_women,100_m_men,100_s_women,100_s_men,,
2000-01-01,34531,44615,29069,28543,,,,,,
2000-02-01,34320,44097,29107,29146,,,,,,
2000-03-01,34400,43946,29254,29330,,,,,,
2000-04-01,34455,43982,29622,29333,,,,,,
2000-05-01,34339,43842,29179,29315,,,,,,
2000-06-01,33959,44089,29198,29253,,,,,,
2000-07-01,33551,44000,29236,29088,,,,,,
2000-08-01,33426,44091,29266,29342,,,,,,
2000-09-01,34009,44067,29625,29221,,,,,,
2000-10-01,34530,44112,29583,29231,,,,,,
2000-11-01,34376,44078,29635,29420,,,,,,
2000-12-01,34613,44059,29776,29504,,,,,,
2001-01-01,34718,44144,29589,29550,,,,,,
2001-02-01,34608,44121,29580,29413,,,,,,
2001-03-01,34754,44161,29775,29336,,,,,,
2001-04-01,34379,44286,29583,29171,,,,,,
2001-05-01,34313,44299,29537,28964,,,,,,
2001-06-01,33630,44201,29654,28931,,,,,,
2001-07-01,33471,44047,29620,29227,,,,,,
2001-08-01,33666,43945,29212,28884,,,,,,
2001-09-01,34141,43976,29376,29360,,,,,,
2001-10-01,34043,43782,29827,29131,,,,,,
2001-11-01,34032,43699,29719,29003,,,,,,
2001-12-01,34081,43479,29580,29279,,,,,,
2002-01-01,34001,43701,29416,28805,,,,,,
2002-02-01,34430,44057,29376,28720,,,,,,
2002-03-01,34365,44154,29347,28549,,,,,,
2002-04-01,34180,44035,29278,28732,,,,,,
2002-05-01,34075,44280,29251,28927,,,,,,
2002-06-01,33628,44133,29366,28793,,,,,,
2002-07-01,33340,44193,29387,28771,,,,,,
2002-08-01,33799,44292,29385,28703,,,,,,
2002-09-01,34572,44276,29319,29139,,,,,,
2002-10-01,34618,44351,29647,28821,,,,,,
2002-11-01,34403,44103,29662,28632,,,,,,
2002-12-01,34432,43888,29719,28776,,,,,,
2003-01-01,34706,44271,29981,28654,,,,,,
2003-02-01,34782,44386,29611,28856,,,,,,
2003-03-01,34891,44336,29723,28700,,,,,,
2003-04-01,34817,44561,29735,28614,,,,,,
2003-05-01,34496,44486,29917,28627,,,,,,
2003-06-01,34158,44465,30029,28633,,,,,,
2003-07-01,33889,44759,29800,28302,,,,,,
2003-08-01,34168,44639,29703,28512,,,,,,
2003-09-01,34635,44679,29452,28859,,,,,,
2003-10-01,35345,44771,29495,28826,,,,,,
2003-11-01,35233,45082,29638,28793,,,,,,
2003-12-01,35217,45476,29433,28673,,,,,,
2004-01-01,34729,45401,29567,28931,,,,,,
2004-02-01,34681,45020,29907,29062,,,,,,
2004-03-01,34533,44949,30081,29042,,,,,,
2004-04-01,34488,44696,30219,29367,,,,,,
2004-05-01,34504,44661,30262,29421,,,,,,
2004-06-01,33970,44923,30280,29541,,,,,,
2004-07-01,33841,44996,30269,29767,,,,,,
2004-08-01,33933,45108,30349,29675,,,,,,
2004-09-01,34721,45194,30123,29488,,,,,,
2004-10-01,35273,45201,30056,29640,,,,,,
2004-11-01,35319,45501,30073,29684,,,,,,
2004-12-01,35213,45409,30319,29552,,,,,,
2005-01-01,34880,45110,30501,29861,,,,,,
2005-02-01,34754,45338,30561,29818,,,,,,
2005-03-01,34431,45324,30920,30064,,,,,,
2005-04-01,34622,45452,30971,30312,,,,,,
2005-05-01,34723,45620,30924,30386,,,,,,
2005-06-01,34080,45276,31135,30835,,,,,,
2005-07-01,34232,45545,30923,30694,,,,,,
2005-08-01,34428,45748,31049,30685,,,,,,
2005-09-01,34974,45519,31228,30736,,,,,,
2005-10-01,35385,45809,31194,30539,,,,,,
2005-11-01,35331,45495,31172,30855,,,,,,
2005-12-01,35438,45596,31104,30948,,,,,,
2006-01-01,35388,45785,30904,31155,,,,,,
2006-02-01,35176,45684,31292,31362,,,,,,
2006-03-01,35139,45745,31330,31573,,,,,,
2006-04-01,35326,45753,31321,31486,,,,,,
2006-05-01,35123,45720,31742,31599,,,,,,
2006-06-01,34795,45637,31870,31725,,,,,,
2006-07-01,34607,45554,31954,31504,,,,,,
2006-08-01,34742,45531,31917,31903,,,,,,
2006-09-01,35518,45636,31473,32250,,,,,,
2006-10-01,35766,45594,31925,32326,,,,,,
2006-11-01,35824,45788,31977,32283,,,,,,
2006-12-01,35864,45969,32069,32374,,,,,,
2007-01-01,35808,46243,31950,32112,,,,,,
2007-02-01,35863,46306,31953,31985,,,,,,
2007-03-01,36252,46587,31691,31831,,,,,,
2007-04-01,36101,46499,31328,31814,,,,,,
2007-05-01,36169,46522,31583,31757,,,,,,
2007-06-01,35679,46435,31843,31825,,,,,,
2007-07-01,35286,46282,31927,31846,,,,,,
2007-08-01,35226,46140,31932,31827,,,,,,
2007-09-01,35796,46125,32351,32021,,,,,,
2007-10-01,35828,46112,32252,31973,,,,,,
2007-11-01,36078,46263,32314,32246,,,,,,
2007-12-01,35898,46203,32364,32104,,,,,,
2008-01-01,35662,46167,32480,32164,,,,,,
