date,net_out,,,
2019-01-01,592,,,
2019-02-01,188,,,
2019-03-01,167,,,
2019-04-01,430,,,
2019-05-01,57,,,
2019-06-01,-22,,,
2019-07-01,-352,,,
2019-08-01,-68,,,
2019-09-01,109,,,
2019-10-01,-114,,,
2019-11-01,8,,,
2019-12-01,29,,,
2020-01-01,-556,,,
2020-02-01,134,,,
2020-03-01,1858,,,670
2020-04-01,6380,,,
2020-05-01,-1570,,,
2020-06-01,-1438,,,
2020-07-01,-119,,,
2020-08-01,-550,,,
2020-09-01,925,,,
2020-10-01,-457,,,
2020-11-01,342,,,
2020-12-01,115,,,
2021-01-01,28,,,
2021-02-01,17,,,
2021-03-01,-263,,,
2021-04-01,-330,,,
2021-05-01,161,,,
2021-06-01,-21,,,
2021-07-01,-131,,,
2021-08-01,-49,,,
2021-09-01,338,,,
2021-10-01,39,,,
